SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,3-3-A,EB,我可以安排。,,
,,,,,,如果你愿意，我可以找个地方让你去学习。,
,,,,,真的可以吗？,,
,,,,,,不用太过担心了。,
,,,,,,我只是想支持你的兴趣。,
,,,,,噢…… 嗯…… 这样的话……,,
,,,,,,没关系的，相信我。,
,,,,,既然你都这么说了……,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,3-3-B,EA,由你决定。,,
,,,,,,你当然可以了。,
,,,,,,看你愿不愿意而已。,
,,,,,我…… 我可以…… 选择？,,
,,,,,,嗯哼。,
,,,,,那…… 那我…… 我想去……,,
,,,,,,很好。,
,,,,,好…… 什么？,,
,,,,,,你终于有自己想做的事了。,
,,,,,……！,,
,,,,,,,
,,EA,,,卡利斯最终听从自己的心意，选择了杰克。,,
,,,,,她现在是个自由身，没有人能再操控她了。,,
,,,,,一切重新开始，杰克和卡利斯承诺从今以后相濡以沫。,,
,,EB,,,她意识到杰克可以保护她，于是杰克怎么说她便怎么做。,,
,,,,,由于她十分害怕独自行动，因此杰克必须要照顾她。,,
,,,,,现在卡利斯在杰克的保护下安逸地生活着。,,
,,,,,……所以现在是谁被控制了呢?,,
,,,,,,,
21,localization,,,,,,
,,mainTitle,,,我可爱的老婆 - 所有魅魔故事,,
,,ok,,,好的,,
,,cancel,,,取消,,
,,house,,,后宫,,
,,availablePathes_,,,可用路线：,,
,,isChecked,,,已选取(标记),,
,,Jake,,,杰克,,
,,story,,,故事,,
,,choice,,,抉择,,
