SuccubusNo,SuccubusName,HeartLevel/Ending,Choice,ChoiceNext,DlgS,DlgJ,args
,,,,,,Okay.,
,,II-5,,,,,
,,,,,,"Luzbel, what are you doing?",
,,,,,"Writing, as usual. What brings you here?",,
,,,,,,I just wanted to Visit.,
,,,,,,Are you writing about humans again?,
,,,,,Humans are an interesting subject. We've been observing your kind for a long time.,,
,,,,,"However, since Master Asmodeus' ascension...",,
,,,,,We haven’t been to the Human Realm.,,
,,,,,,"No wonder you're always writing, we must have changed a lot since then.",
,,,,,Indeed.,,
,,,2-5-A,III-3,You should visit us more often.,,
,,,,,,"I think your kind should visit our realm more often, so we could learn from each other.",
,,,,,I completely agree. There are so many things that I find peculiar.,,
,,,,,,You bet.,
,,,,,,Perhaps we could exchange some ideas?,
,,,,,,It could be about anything.,
,,,,,Much obliged.,,
,,,2-5-B,III-1,Do you have to do that?,,
,,,,,,But... do you think it’s really important to learn about humanity?,
,,,,,We might be able to exchange ideas...,,
,,,,,Just like my ancestors.,,
,,,,,,I don’t know if it’s good in the long run...,
,,,,,Why do you sound skeptical?,,
,,,,,,"I mean, we are so different.",
,,,,,"In terms of communication, it won’t always be smooth.",,
,,,,,I suppose you humans should know about this.,,
,,,,,,"Yes, and That’s what I'm afraid of.",
,,,,,Why?,,
,,,,,,It could lead to conflict...,
,,,,,"Oh, afraid of us, are you?",,
,,III-1,,,,,
,,,,,I have a question for you this time.,,
,,,,,,"Sure, ask away.",
,,,,,How are the rules made in the Human Realm?,,
,,,,,,They're usually regulated by each country's leader or government.,
,,,,,,"And, as you may know, if we break the laws, we will get caught by the authorities.",
,,,,,"I see, so it’s also strict in the human realm.",,
,,,3-1-A,III-2,Do you want to learn more?,,
,,,,,,Do you want to know more about it?,
,,,,,By any means.,,
,,,,,,"Sure, I'll find time to talk more about it with you.",
,,,,,"Sure, But I can’t do it right now, I'm afraid...",,
,,,,,"What a shame... then, next time?",,
,,,,,,Of course.,
,,,3-1-B,EB,Perhaps we have different rules?,,
,,,,,,"It might be different in the Demon Realm, right?",
,,,,,,I don’t think we could follow the system there...,
,,,,,Don’t judge too quickly.,,
,,,,,,It’s just... It might be harsher there?,
,,,,,Maybe you should listen to what others have to say first before opening your mouth.,,
,,,,,"Go away, I'm not in the mood to argue.",,
,,,,,,Wait-,
,,,,,,(I shouldn’t have said that.),
,,III-2,,,,,
,,,,,You're here.,,
,,,,,Shall we continue our conversation from the last time?,,
,,,,,,Oh! Sure. What do you want to know?,
,,,,,You mentioned something about getting caught by the authorities.,,
,,,,,"Other than that, are there other consequences for rule breakers?",,
,,,,,,Well...,
,,,3-2-A,EB,To face death.,,
,,,,,,They could face death. Some countries do have the death penalty...,
,,,,,Really?,,
,,,,,,"Yes, it’s really important to follow the rules.",
,,,,,,Don’t you think so?,
,,,,,I suppose so...,,
,,,3-2-B,EB,I’m not sure.,,
,,,,,,I'm just a lowly citizen in this place.,
,,,,,,I'm afraid I can’t answer that...,
,,,,,I thought the rules of men should be known to all humans?,,
,,,,,,"Yes, but I don’t know anything more than that...",
,,,,,That’s a shame then...,,
,,III-3,,,,,
,,,,,Seems like you have gone through that thing.,,
,,,,,,That thing?,
,,,,,That... marriage thing.,,
,,,,,I still don’t understand anything about it.,,
,,,,,Can you tell me more about this?,,
,,,,,,Well...,
,,,3-3-A,III-4,The important thing about marriage is...,,
,,,,,,What’s important is for the couple to love each other.,
,,,,,,To the point that they are willing to spend the rest of their lives together.,
,,,,,Hmm...,,
,,,,,How about those couples who are forced to perform this ceremony?,,
,,,,,,I think... those are the bad examples of marriage.,
,,,,,,I think marriage should be based on love.,
,,,,,"Love, huh.",,
,,,3-3-B,EB,Marriage is sacred.,,
,,,,,,"In my opinion, marriage is something sacred... but many fail to see it that way.",
,,,,,Like what?,,
,,,,,,"Like forced marriage, for example.",
,,,,,"I see, so marriage can also be a terrible thing?",,
,,,,,,More or less.,
,,,,,I see.,,
,,III-4,,,,,
,,,,,,"Hi, Luzbel.",
,,,,,...,,
,,,,,,Luzbel?,
,,,,,"Oh, what is it?",,
,,,,,,Why are you spacing out?,
,,,,,This thing that is foreign to us...,,
,,,,,,Do you want to tell me about it? Maybe I can help.,
,,,,,"Well... Jake, what is love?",,
,,,,,,Huh?,
,,,,,"We’ve been talking about things related to love these past few days, but what exactly is love?",,
,,,,,,"It’s, um...",
,,,3-4-A,EA,You can feel butterflies inside your stomach.,,
,,,,,,Love is... seeing your special person and you feel like you have butterflies in your stomach.,
,,,,,,Just like with my late wife...,
,,,,,Your late wife had butterflies inside her stomach? Is that how she died?,,
,,,,,,N- not literally.,
,,,,,,"Ahem, I mean it’s an amazing feeling...",
,,,,,,So amazing that you feel like the whole world seems so bright and beautiful.,
,,,,,I see...,,
,,,,,,Seems like you still have a lot to learn from us.,
,,,,,"Yes, I agree.",,
,,,,,Can you tell me more about this kind of feeling?,,
,,,,,,Sure.,
,,,3-4-B,EB,It makes you obsessed.,,
,,,,,,It could make you obsessed...,
,,,,,,"When you lose your loved one, it could drive you mad...",
,,,,,,"You miss them like crazy. The grief, the pain... It’s like nothing you've ever felt before.",
,,,,,I see...,,
,,,,,It’s a scary feeling.,,
,,,,,,It’s beautiful... but it can be frightening when you lose it.,
,,,,,I get it.,,
,,EA,,,Luzbel thought that she would face a lot of trouble when she became human.,,
,,,,,"To her surprise, her new life with Jake is going well.",,
,,,,,"Now that she gets to experience being a human herself, she no longer needs her book...",,
,,EB,,,Luzbel never thought that she would turn into a human.,,
,,,,,She indeed wished to learn more about them...,,
,,,,,But she only knew how to live as a succubus.,,
,,,,,"Confused and filled with regret, she now spends all her time looking for a way to turn back into a succubus.",,
7,Kasu,I-1,,,Kasu,,
,,,,,I can smell the presence of succubi here...,,
,,,,,,Smell?,
,,,,,,How can you smell their presence?,
,,,,,The sweet smell of their Carnal Essence... it lingers!,,
,,,,,,(She can smell Carnal Essence?),
,,,,,"They are here, aren't they? Let me meet them!",,
,,,1-1-A,II-3,The smell of Carnal Essence.,,
,,,,,,Does Carnal Essence leave a scent? I didn't know that.,
,,,,,"When you work with it your whole life, you learn its scent.",,
,,,,,,You mean... when you absorb it from human men?,
,,,,,"Nah, that's basic. What I do is experiment with it.",,
,,,,,,Experiment?,
,,,,,Yes.,,
,,,,,"In fact, since you seem used to summoning succubi...",,
,,,,,Can I borrow them some time?,,
,,,,,,B- borrow? What do you want to do with them?!,
,,,,,Don't you worry! I'm an expert!,,
,,,,,,I think I'll have to pass on that...,
,,,1-1-B,I-2,Any business with them?,,
,,,,,,Why? Do you have some business with them?,
,,,,,No... I just want to check on them.,,
,,,,,I've got lots of questions about their experiences here...,,
,,,,,,"You're a curious one, aren't you?",
,,,,,"Why, yes I am.",,
,,,,,Especially when it comes to the science of Carnal Essence.,,
,,,,,,(There are stars in her eyes every time she talks about Carnal Essence.),
,,I-2,,,,,
,,,,,,...,
,,,,,"Come on in, I don't bite.",,
,,,,,What's up?,,
,,,,,,I'm just checking up on you.,
,,,,,,"Well, then...",
,,,,,"So soon? Come take a look at my work first, will you?",,
,,,,,,What's that? It's glowing...,
,,,,,"Pretty, isn’t it? It's crystalized Carnal Essence that I made myself!",,
,,,,,"I deserve a round of applause, making this work of art with such shoddy equipment.",,
,,,1-2-A,II-1,You’re used to doing this?,,
,,,,,,"Creating these in such a short amount of time... you must be used to doing this, right?",
,,,,,"An excellent observation. As a reward, let me tell you what it's for!",,
,,,,,These crystals are used for experimental testing on succubi's bodies.,,
,,,,,,Come again?!,
,,,,,"There’re tons of hidden potential in Carnal Essence, you Know.",,
,,,,,,A-are those succubi OK?,
,,,,,"You aren't listening, are you?",,
,,,,,"They're fine! We're demons, remember?",,
,,,,,We're not fragile little humans.,,
,,,,,,...,
,,,1-2-B,II-3,It can be crystalized?,,
,,,,,,I didn't know that Carnal Essence could be crystalized.,
,,,,,"Awesome, right? It took us hundreds of years to find out how to do this!",,
,,,,,,"You mean, all of your kind are like you?",
,,,,,We are a curious bunch.,,
,,,,,Everything for science!,,
,,,,,,Demonic science?,
,,,,,Call it whatever you like.,,
,,I-3,,,,,
,,,,,,Kasu...?,
,,,,,"Oh, perfect timing.",,
,,,,,Strip. Now.,,
,,,,,,Excuse me?!,
,,,,,I wish to see your insides.,,
,,,,,,W- wait a minute! You can't do that!,
,,,,,Why can't I?,,
,,,1-3-A,II-4,Why me?,,
,,,,,,"Why me, though?",
,,,,,You smell different from other men.,,
,,,,,I can smell the Carnal Essence of succubi on you.,,
,,,,,,What do you mean...?,
,,,,,Don't play dumb. Just strip so I can dissect you.,,
,,,,,,No!,
,,,,,Tch. Lend me a succubus of yours then.,,
,,,,,,I can't do that either!,
,,,,,So stingy...,,
,,,1-3-B,I-2,What do you want to do?,,
,,,,,,Just what exactly are you trying to do?,
,,,,,I want to learn about Carnal Essence.,,
,,,,,"Yours, to be precise.",,
,,,,,"Now, be a good boy and lay down on the bed, will you?",,
,,,,,,N- no way. You said that you'd cut me open-,
,,,,,It won't hurt. I'm an expert.,,
,,,,,,No...,
,,,,,"You're a tough One, aren't you?",,
,,,,,"Well, there's always next time.",,
,,,,,,(She’s really weird.),
,,II-1,,,,,
,,,,,,It's still early in the morning and you already look busy.,
,,,,,"Carnal Essence research. Keeps me busy, busy, busy!",,
,,,,,"I You know, there's this effect that really intrigues me...",,
,,,,,,W- what would that be?,
,,,,,My Carnal Essence can make succubi drunk.,,
,,,,,,Drunk? Like drunk from booze?,
,,,,,Bingo. With the side effect of massively amplifying their physical strength.,,
,,,,,I'm sure now that Carnal Essence can provide so much more than just sustenance for us succubi...,,
,,,2-1-A,II-2,About your kind...,,
,,,,,,Are you the only one doing this research into Carnal Essence?,
,,,,,Mmm? Nope! My kind are all into this stuff.,,
,,,,,The pursuit of knowledge! Science! It runs in our blood!,,
,,,,,,But is that pursuit limited to just Carnal Essence?,
,,,,,Nooope. Carnal Essence just happens to be the most compelling subject for us.,,
,,,,,You don't want to ask why?,,
,,,,,,(Those starry eyes again.),
,,,,,,Er... Why?,
,,,,,"Because there's a possibility it doesn't just affect us succubi. It may affect humans, too!",,
,,,,,Have you ever seen a human overflowing with Carnal Essence?,,
,,,,,"Their physical appearance changes! Why, that could only be explained by...",,
,,,,,,(There's no stopping her once she starts lecturing...),
,,,2-1-B,III-4,You're like a human alchemist.,,
,,,,,,You remind me of Master Warlock...,
,,,,,Master Warlock? Who's that?,,
,,,,,,A great alchemist from the Human Realm.,
,,,,,,He's famous for his process of homunculi creation.,
,,,,,Are you serious? Someone figured out how to create life from nothing?!,,
,,,,,"That one is an unparalleled genius! He must be the most talented human alive... No, in history!",,
,,,,,,Too bad nobody knows where he is today.,
,,,,,,Nor does anyone know if he's even still alive.,
,,,,,"Noted. Unfortunate, but this does give me some interest in learning alchemy...",,
,,,,,Its secrets may just be the push my experiments need.,,
,,II-2,,,,,
,,,,,,Your experiments...,
,,,,,What about them?,,
,,,,,,Since you said that it affects both succubi and humans...,
,,,,,,Have you ever used a human test subject?,
,,,,,"Well, no.",,
,,,,,But succubi... Ohohoho. Yes indeed!,,
,,,2-2-A,II-5,Who are those succubi?,,
,,,,,,Are you for real?,
,,,,,"Good sir, I would never jest about science! Luckily for me, some succubi are very cooperative.",,
,,,,,,They... willingly become your test subjects?!,
,,,,,I've told you that my Carnal Essence causes... what is it called in your realm...,,
,,,,,Alcohol intoxication?,,
,,,,,"Well, apparently the Nocti kind can't get drunk enough!",,
,,,,,,"So, they let you experiment on them in exchange for... getting smashed?",
,,,,,"A win-win for the both of us, no?",,
,,,,,,Isn't that dangerous for them? They can't possibly live their lives while intoxicated.,
,,,,,Hmph! I'll have you know there hasn't been even one serious incident... yet.,,
,,,2-2-B,III-1,For the sake of your own self-interest?,,
,,,,,,Are you doing this because you want to?,
,,,,,Duh. What could be more fulfilling than a life spent unlocking the secrets of existence?,,
,,,,,"It's all thanks to our new leader, too.",,
,,,,,"He's funding our research. Science needs moolah, you know!",,
,,,,,,Funding?,
,,,,,Yep. The Master is quite interested in the potential of Carnal Essence.,,
,,,,,"As such, my kind are provided with everything we need!",,
,,,,,,I see...,
,,II-3,,,,,
,,,,,"I wish I could work on a Nocti, right here and now.",,
,,,,,,A Nocti?,
,,,,,"A kind of succubi... Real strong ones, those Nocti.",,
,,,,,"By strong, I mean quite resilient.",,
,,,,,"No matter what I try on them, they just keep on coming back for more!",,
,,,,,,Are they masochists?,
,,,,,,Or maybe your kind bribes them?,
,,,,,"Well, that's rude of you.",,
,,,,,"Can't say the other kinds are exactly willing to be made into subjects, however.",,
,,,2-3-A,II-5,Other succubi you experimented on.,,
,,,,,,There are other kinds of succubi you've experimented on?,
,,,,,"Of course! After all, each kind has their own unique characteristics.",,
,,,,,"Aside from the Nocti, the Hala are simple to persuade.",,
,,,,,All I need is some human food and they'll do whatever I tell them to! Isn't it marvelous?,,
,,,,,,You kind of sound more like a villain than a researcher...,
,,,,,"Hey! I do warn them to expect some... side effects, after having their bodies worked on.",,
,,,,,And they've always agreed to the terms. I'm not liable for anything! Hehehe.,,
,,,2-3-B,III-3,Are you allowed to do that?,,
,,,,,,Are you allowed to conduct experiments on fellow succubi?,
,,,,,,"I mean, does your new ruler even approve of this?",
,,,,,Approval-schmoval. Who cares?!,,
,,,,,"However, if you're really concerned, then yes. Master Asmodeus himself has given his express approval.",,
,,,,,"He really, really wants to see Some results from all this research into Carnal Essence!",,
,,,,,,I wonder if all those succubi are okay...,
,,,,,"You worry too much. Like I always tell them: ""Steel yourself woman, this is for science!""",,
,,,,,Unless you want me to... demonstrate my technique? Here and now?,,
,,,,,,I’ll pass.,
,,II-4,,,,,
,,,,,,"Kasu, are you here-",
,,,,,,Holy Celestials! What's happening here?!,
,,,,,Carnal Essence crystallization. Pretty simple.,,
,,,,,,Why is there blood everywhere?!,
,,,,,Will you relax? It's from this dead guy.,,
,,,,,"I was performing a dissection, examining the Carnal Essence within his body.",,
,,,,,,Dissecting a corpse for its Carnal Essence?,
,,,,,"Science means getting your hands dirty, you know?",,
,,,2-4-A,III-1,Where does that determination come from?,,
,,,,,,Why are you so determined to do this?,
,,,,,I recommend walking straight to your closest apothecary and asking for their strongest dose of chill pills.,,
,,,,,,"Does Master Asmodeus not mind you doing this? I mean, these are your fellow succubi...",
,,,,,"Nopity-nope-nope! He's waaay more relaxed about this than you are, actually.",,
,,,,,The hidden potential in Carnal Essence is just too great a reward to ignore!,,
,,,,,,This is wrong... You're treating your fellow succubi like guinea pigs...,
,,,,,I think of them as necessary sacrifices in the name of progress.,,
,,,2-4-B,III-4,Studying Other things about humans.,,
,,,,,,"But, you love learning about many other things, right?",
,,,,,"I want to learn EVERYTHING, to be precise.",,
,,,,,,Don't you want to learn more about humans?,
,,,,,The idea does tickle me... but I don't even know where to start.,,
,,,,,,"You can start by, uh, observing some humans? Studying their behavior?",
,,,,,,That would definitely help in learning to understand us.,
,,,,,"But, my Carnal Essence research...",,
,,,,,,"Maybe when you understand us, you can find a more... effective way to dissect Carnal Essence?",
,,,,,Hmm... Not a bad idea.,,
,,,,,,Right?,
,,II-5,,,,,
,,,,,,"Kasu, I've been wondering...",
,,,,,What is it?,,
,,,,,,"Your test subjects... They all gave their consent to this, right?",
,,,,,Mostly.,,
,,,,,,... Mostly?,
,,,,,"I've told you that some actually enjoy being experimented on, right?",,
,,,,,"As long as they don't mind, you don't need to worry your sweet little head about it.",,
,,,2-5-A,III-1,About your methods...,,
,,,,,,Does your ruler not mind you tricking the other succubi like that?,
,,,,,Tricking them? Perish the thought!,,
,,,,,"Besides, the Master only cares about results.",,
,,,,,,"That sounds kind of irresponsible, if you ask me.",
,,,,,"Details, details. All that matters is that I get everything I need for my research.",,
,,,,,Having our ruler funding the whole thing makes life so much easier for us!,,
,,,2-5-B,III-4,They are kind of similar to humans.,,
,,,,,,From how you explain it...,
,,,,,,Succubi are kind of similar to humans.,
,,,,,How so?,,
,,,,,,Some of us can be tricked into taking shady deals too easily.,
,,,,,But those are the kind of subjects I love the most!,,
,,,,,,Huh?,
,,,,,They make such good test subjects. I can do virtually anything to them!,,
,,,,,,"(For the sake of my peace, I better not continue this conversation.)",
,,III-1,,,,,
,,,,,Grr...,,
,,,,,,... Huh?,
,,,,,,"It's rare to see you upset, what's up?",
,,,,,I can't find it!,,
,,,,,,Find what?,
,,,,,A way to turn a succubus into a human...,,
,,,,,"I've heard that when it happens, the former succubus can produce twice the amount of Carnal Essence.",,
,,,,,,Who told you that?,
,,,,,Master Asmodeus.,,
,,,,,He wants me to discover exactly how that process works.,,
,,,3-1-A,III-2,The result so far?,,
,,,,,,How's your research going?,
,,,,,,"You must already have something, right?",
,,,,,"Hearsay isn't science, but I've heard from another succubi...",,
,,,,,"A succubus needs to enter a certain ""pact"" in order to become human.",,
,,,,,"A Love Pact, they said.",,
,,,,,,"A Love Pact, huh....",
,,,,,,"So, it requires two parties? It IS a pact and all...",
,,,,,Maybe? I don't have enough information about it.,,
,,,,,I'm looking for other possible answers though.,,
,,,,,,Sounds complicated...,
,,,3-1-B,III-3,Win-win solution for us.,,
,,,,,,"In that case, this looks like a possible win-win situation for us.",
,,,,,"Huh?! Elaborate, human.",,
,,,,,,"Well, I, uh... summoned you here to help me.",
,,,,,,"And while you're here, you can work on your research more freely. So, this could be... Uh...",
,,,,,"Pfft. So, you do have a bit of cunning in you, Jake.",,
,,,,,,I- I didn't mean to put it like that...,
,,III-2,,,,,
,,,,,...,,
,,,,,,"Hello, Kasu?",
,,,,,Ah. It's you.,,
,,,,,"You know, I witnessed a wedding yesterday while I was out on the town, observing people.",,
,,,,,,Oh? Could you be...,
,,,,,Why are you looking at me like that?,,
,,,,,,N- nothing. Sorry.,
,,,,,,What's on your mind?,
,,,,,Maybe a Love Pact... should be made between a succubus and a human.,,
,,,,,Just like a human marriage.,,
,,,3-2-A,EB,How did your observation go?,,
,,,,,,And? What else did you learn from your observations?,
,,,,,Seems like there is no significant change in their Carnal Essence production.,,
,,,,,Bummer.,,
,,,,,,Maybe you need to experience love yourself.,
,,,,,"And just what might you be proposing there, Jake?",,
,,,,,,I just think that it might take more than just a vow with words...,
,,,,,Hmm...,,
,,,3-2-B,EA,Love is what makes us human.,,
,,,,,,That could be true.,
,,,,,,Since love is what makes us human.,
,,,,,Aren't you already human?,,
,,,,,,T- that's not what I meant.,
,,,,,"Hmm, this is frustrating.",,
,,,,,I refuse for there to be a concept I cannot understand...,,
,,,,,,"C- cheer up, you have plenty of time to learn about everything.",
,,,,,Not if I get turned into human.,,
,,,,,,Huh?,
,,III-3,,,,,
,,,,,,How did you conduct your research back in your realm?,
,,,,,"Oh?! Getting curious now, are we?",,
,,,,,,I'm just wondering...,
,,,,,"Well, we hopped back and forth between the two realms.",,
,,,,,,Just to get Carnal Essence?,
,,,,,"A time-consuming process, I admit.",,
,,,,,But a small price for the advancement of knowledge.,,
,,,,,,That's a dedicated scientist for you.,
,,,,,"There are just so many things to study, and not enough time to learn them all...",,
,,,3-3-A,III-4,Any personal projects?,,
,,,,,,Do you have any personal projects going on?,
,,,,,Tons.,,
,,,,,"Thing is, I hardly have the time, what with the Master's orders and all...",,
,,,,,"Plus, he is really eager to see the results of our Carnal Essence research.",,
,,,,,,Do you think...,
,,,,,,He wants to use that knowledge to better the life of the succubi?,
,,,,,I really don't know.,,
,,,,,Not that I particularly care either. As long as I get to indulge in my research...,,
,,,,,,... then you don't mind what comes after.,
,,,,,"Stealing my Sentences now, are we?",,
,,,,,,Hahaha!,
,,,3-3-B,EB,Your ruler's order.,,
,,,,,,But I think it's better to prioritize your ruler's orders.,
,,,,,,I mean... he's your boss.,
,,,,,Obviously.,,
,,,,,It's not as if I don't want to do this.,,
,,,,,,"Ah, but has he ever told you to conduct research on anything else?",
,,,,,No. He specifically only wants to learn about Carnal Essence.,,
,,,,,,I see...,
,,III-4,,,,,
,,,,,"You know, Jake... I've been following your advice.",,
,,,,,,What advice?,
,,,,,"Ah, you humans. So forgetful!",,
,,,,,"You told me to learn more about the human world, remember?",,
,,,,,,"Oh... I did, didn't I?",
,,,,,,"So, how is it going?",
,,,,,Well. Turns out humanity encompasses quite a multitude of subjects.,,
,,,,,I'm having a hard time choosing a topic to focus on.,,
,,,3-4-A,EB,Human relationships.,,
,,,,,,How about human relationships? They're pretty interesting.,
,,,,,"Ah. Well. Uh, social interaction isn't exactly my forte...",,
,,,,,I'd rather go back to my Carnal Essence research.,,
,,,,,At least I was making progress there.,,
,,,,,,"Well, that's a shame.",
,,,3-4-B,EA,Human alchemy.,,
,,,,,,How about alchemy? Have you taken a look at it?,
,,,,,"Ah, but of course!",,
,,,,,"I've been reading up a ton on homunculi. Their creation, their usage...",,
,,,,,,"Well, you can just focus on that, then.",
,,,,,,I'm certainly Seeing Stars in your eyes.,
,,,,,Heh. Hehehe. I won't deny my enthusiasm.,,
,,,,,"I've read Master Warlock's journal, too, you know.",,
,,,,,He could even make humanoid homunculi... Dozens of them!,,
,,,,,Incredible.,,
,,,,,,(Wait. Where did she get all those books and materials?),
,,EA,,,Jake always has the most interesting stuff to share with Kasu.,,
,,,,,"She mostly spends time in her lab, but nowadays she's really into learning practical alchemy.",,
,,,,,"It's fascinating to create an artificial life, together with her beloced.",,
,,,,,Both of them treat their homunculi like their own children.,,
,,EB,,,Jake thought that Kasu finally became interested in human knowledge.,,
,,,,,"However, that is not the case, as she's actually still engrossed with researching Carnal Essence.",,
,,,,,She even deliberately uses Jake as her test subject.,,
,,,,,Everyday begins with her cutting him open again and again in another new experiment.,,
8,Lamia,I-1,,,Lamia,,
,,,,,Ewww... disgusting!,,
,,,,,,Are you okay?,
,,,,,Of course not! Look at this rotten place!,,
,,,,,This is even nastier than the scum's caves.,,
,,,,,Have you ever cleaned this place?,,
,,,,,,I... I just did!,
,,,,,You might as well find a new home. This is hopeless.,,
,,,1-1-A,II-2,That's impossible.,,
,,,,,,I- it's not that easy.,
,,,,,,I worked hard to buy this house...,
,,,,,,...and this place has plenty of memories.,
,,,,,Pfft. Like what? Memories of being poor?,,
,,,,,,!,
,,,,,"I don't care. Now that I'm here, you must tend to my needs.",,
,,,,,"First, I want you to change the bed.",,
,,,,,Don't forget to give it a ruffled bed skirt!,,
,,,,,"Chop chop, a queen cannot be laying down on junk.",,
,,,1-1-B,I-2,I might’ve missed some spots.,,
,,,,,,"T- there's no need for that, is there?",
,,,,,,I'll sweep one more time. I might’ve missed some spots.,
,,,,,Hahaha. What? You clean this place yourself?,,
,,,,,"It's YOUR place. You should just sit back, relax, and let the others do the chores.",,
,,,,,Don't you have at least one or two... what is it you call them...,,
,,,,,,Maids?,
,,,,,,I don't have the luxury of having a maid.,
,,,,,,"I'm used to taking care of things myself, too...",
,,,,,Pathetic.,,
,,I-2,,,,,
,,,,,"Ah, you're finally here. What took you so long?",,
,,,,,,... You were waiting for me?,
,,,,,You think?! Who will tidy up my room if not you?,,
,,,,,"Quick, organize the stuff in that corner first.",,
,,,,,,W- where did you get that much stuff?,
,,,,,"Pfft, as a queen, it's only natural for me to get offerings from my slaves.",,
,,,,,,Staves?,
,,,,,Those humans can't resist my beauty.,,
,,,,,"Quit slacking off, now!",,
,,,1-2-A,II-4,Where should I put these?,,
,,,,,,Those accessories... should I put them in your dresser?,
,,,,,"Ah, just throw that whole pile out.",,
,,,,,They all look so cheap and ugly. Why would they give those to me?,,
,,,,,,M- maybe it's pretty for them...,
,,,,,"Tch, what did I expect from lowly scum, anyway?",,
,,,,,,"... If they hear you talking like that, I think they might cry.",
,,,,,Don't care.,,
,,,,,They need to understand what their queen loves!,,
,,,1-2-B,II-1,Can't you do it yourself?,,
,,,,,,"You can actually do this by yourself, right?",
,,,,,Obviously. But do I want to?,,
,,,,,NO.,,
,,,,,,B- but it's not that hard! I can even show you how-,
,,,,,"Listen here, you don't let a queen waste her time with frivolities",,
,,,,,"Tch, even the Kalys are more useful...",,
,,,,,...than this one pathetic human.,,
,,I-3,,,,,
,,,,,,Lamia?,
,,,,,Calling me so casually...,,
,,,,,How dare you!,,
,,,,,,W- what should I address you as?,
,,,,,Queen.,,
,,,,,,Queen...?,
,,,,,Queen Lamia.,,
,,,,,And what do you want?!,,
,,,,,,I... I probably need to bring you to Lord Willard-,
,,,,,Huh??,,
,,,,,You dare give orders to a queen?!,,
,,,1-3-A,II-1,I’m not ordering you around.,,
,,,,,,I... That's not my intention.,
,,,,,,"I just figured that, since you were newly summoned...",
,,,,,"Tch, having someone other than Master Asmodeus telling me what to do...",,
,,,,,This is an insult!,,
,,,,,,...,
,,,,,"Listen, human. You're nothing like him.",,
,,,,,So don't ever think of speaking to me so casually.,,
,,,,,You hear me?!,,
,,,,,,Y- yes...,
,,,1-3-B,I-2,I’m the one who summoned you.,,
,,,,,,B-but I'm the one who summoned you...,
,,,,,You may be able to summon a high-class demon like me...,,
,,,,,But that doesn't mean you can order me around!,,
,,,,,Mind your manners when talking to a queen!,,
,,,,,,I'm sorry... My queen...,
,,,,,"Good, good. Now come and do something about this room.",,
,,,,,,What's wrong with this room...?,
,,,,,Are you blind? This dull room isn't fit for royalty!,,
,,II-1,,,,,
,,,,,,Are you really the queen of the Demon Realm?,
,,,,,"Oh, doubting the queen, are we?",,
,,,,,"Not just the Demon Realm, I'm the queen of the world!",,
,,,,,,(Is she delusional or something?),
,,,,,What were you thinking just now?,,
,,,,,,"A- ah. Nothing, I swear!",
,,,,,It's just a matter of time before the Master officially make me his queen.,,
,,,2-1-A,III-1,What will you do as a queen?,,
,,,,,,Officially... that means you aren't-,
,,,,,Once I become his queen...,,
,,,,,I'll have all the succubi serve me.,,
,,,,,"That way, I won't have to move a single finger to get what I want.",,
,,,,,"Ah, what a life.",,
,,,,,,(She's... lost in thought.),
,,,2-1-B,II-2,You sound confident.,,
,,,,,,You sound confident... Did he promise to make you his queen?,
,,,,,Are those eyes only for decoration?,,
,,,,,Look at me!,,
,,,,,,O- okay...,
,,,,,"Now tell me, are there any other succubi who are as charismatic as I am?",,
,,,,,,...,
,,,,,That's right. No one.,,
,,,,,No one understands the essentials of being a queen...,,
,,,,,...except me!,,
,,II-2,,,,,
,,,,,"C'mere, slave. It's time for my morning massage.",,
,,,,,,"Eh? Wait, I don't recall-",
,,,,,"Talking back to your queen, now?",,
,,,,,Disobedient slaves need to be punished!,,
,,,,,,"L- look, I'll gladly lend a hand if you need my help.",
,,,,,,But can't you ask nicely...?,
,,,,,That's not necessary.,,
,,,2-2-A,III-1,Do you feel grateful?,,
,,,,,,I don't understand you.,
,,,,,,Don't you feel grateful when you're helped by others?,
,,,,,Why would I? It's just how things are supposed to be.,,
,,,,,"If anything, it should be them who have to feel grateful.",,
,,,,,For they have the honor of serving the queen!,,
,,,,,,There you go again.,
,,,2-2-B,II-5,Who helped you in your realm?,,
,,,,,,I... I don't think I can keep up with you.,
,,,,,"What did I expect from a weakling like you, anyway?",,
,,,,,It'd be better if you could bring a Bastet succubus here.,,
,,,,,,Bastet?,
,,,,,They own the finest succubi to tend to me.,,
,,,,,"Plus, their servants don't talk much.",,
,,,,,,Succubi who don't talk much... Is it perhaps...?,
,,,,,You've seen a Kalys succubus?,,
,,,,,"Send them to me, then! I have no use for you!",,
,,II-3,,,,,
,,,,,You're already here?,,
,,,,,,Did I interrupt...?,
,,,,,Nuh-uh.,,
,,,,,A good slave must always check on their queen first thing in the morning.,,
,,,,,,"T- that's not, uh...",
,,,,,,I’ve told you I have to take care of this house myself.,
,,,,,,I also have to prepare for work...,
,,,,,,That's why I have to start early in the morning every day.,
,,,,,Sounds tiresome. Good thing I don't have to do it.,,
,,,,,Why don't you just get someone to do it for you?,,
,,,2-3-A,III-1,I can do it myself.,,
,,,,,,"Well, I can handle it myself.",
,,,,,,Unless... you're worried about me and want to help?,
,,,,,You- !,,
,,,,,Speak one more time and I'll shove that broom down your throat!,,
